Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
system.user, User, 用户, Benutzer, Utente, Usuário, Utilizator, Bruger, Usuario, Utilisateur, Kullanıcı
system.team, Team, 团队, Team, Squadra, Equipe, Echipă, Hold, Equipo, Équipe, Ekip
system.back,Back,返回,Zurück,Indietro,Voltar,Înapoi,Tilbage,Volver,Retour,Geri
system.goHome,Homepage,去首页,,,,,,,,
system.submit,Submit,提交,Senden,Presentare,Enviar,Trimiteți,Send,Enviar,Soumettre,Gönder
system.next,Next,下一步,Weiter,Avanti,Próximo,Următorul,Næste,Siguiente,Suivant,Sonraki
system.delete,Delete,删除,Löschen,Cancella,Excluir,Ștergeți,Slet,Borrar,Supprimer,Silme
system.deleteConfirm, "Yes, delete", "是的，删除", "Ja, löschen", "Sì, elimina", "Sim, excluir", "Da, ștergeți", "Ja, slet", "Sí, borrar", "Oui, supprimer", "Evet, sil"
system.remove, Remove, 移除, Entfernen, Rimuovi, Remover, Eliminați, Fjern, Eliminar, Supprimer, Kaldır
system.edit, Edit, 编辑, Bearbeiten, Modifica, Editar, Editați, Rediger, Editar, Modifier, Düzenle
system.rename, Rename, 重命名, Umbenennen, Rinomina, Renomear, Redenumiți, Omdøb, Renombrar, Renommer, Yeniden adlandır
system.cancel,Cancel,取消,Abbrechen,Annullamento,Cancelar,Anulați,Annuller,Cancelar,Annuler,İptal
system.save,Save,保存,Speichern,Risparmiare,Salvar,Salvați,Gem,Guardar,Enregistrer,Kaydet
system.saveAs,Save as,另存为,Speichern als,Salva come,Salvar como,Salvează ca,Gem som,Guardar como,Enregistrer sous,Farklı kaydet
system.settings,Settings,设置,Einstellungen,Impostazioni,Configurações,Setări,Indstillinger,Configuración,Paramètres,Ayarlar
system.logout,Logout,登出,Ausloggen,Disconnessione,Logout,Ieșire,Log ud,Cerrar sesión,Déconnexion,Oturumu Kapat
system.imprint,Imprint,版本说明,Impressum,Impronta,Impressão,Imprimare,Aftryk,Pie de imprenta,Mentions légales,Künye
system.order,Order,订购,Bestellung,Ordine,Pedido,Comandă,Bestilling,Pedir,Commande,Sipariş
system.addLabels,Add labels,加标签,Etiketten hinzufügen,Aggiungi etichette,Adicionar etiquetas,Adăugați etichete,Tilføj etiketter,Añadir etiquetas,Ajouter des étiquettes,Etiket ekleyin
system.addOrder,Add order,,,,,,,,,
system.allLabels,All labels,所有标签,Alle Etiketten,Tutte le etichette,Todas as etiquetas,Toate etichetele,Alle etiketter,Todas las etiquetas,Toutes les étiquettes,Tüm etiketler
system.shareWith,Share with,与某人分享,Teilen mit,Condividi con,Compartilhar com,Împarte cu,Del med,Compartir con,Partager avec,İle paylaş
system.inviteUser,Invite user,邀请用户,Benutzer einladen,Invita utente,Convidar Usuário,Invită utilizator,Inviter bruger,Invitar usuario,Inviter un utilisateur,Kullanıcıyı davet et
system.inviteSent,Invite sent,邀请已发送,Einladung gesendet,Invito inviato,Convite enviado,Invitație trimisă,Invitation sendt,Invitar enviado,Invitation envoyée,Davet gönderildi
system.errorSendingInvite,Error sending invite,发送邀请时出错,Fehler beim Senden der Einladung,Errore durante l'invio dell'invito,Erro ao enviar convite,Eroare la trimiterea invitației,Fejl ved afsendelse af invitation,Error al enviar la invitación,Erreur lors de l'envoi de l'invitation,Davet gönderilirken hata oluştu
system.role,Role,角色,Rolle,Ruolo,Papel,Rol,Rolle,Role,Rôle,Rol
system.selectRole,Select role,选择角色,Rolle auswählen,Seleziona ruolo,Selecione a função,Selectați rolul,Vælg rolle,Seleccionar rol,Sélectionnez un rôle,Rol Seçin
system.sendInvitation,Send invitation,发送邀请,Einladung senden,Spedire un invito,Enviar convite,Trimite invitatia,Send invitation,Enviar invitacion,Envoyer une invitation,Davetiye gönder
system.english,English,English,English,English,English,English,English,English,English,English
system.chinese,中文,中文,中文,中文,中文,中文,中文,中文,中文,中文
system.china,China,中国,China,Cina,China,China,Kina,China,Chine,Çin
system.german,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
system.italian,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
system.spanish,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
system.portuguese,Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil),Português (Brasil)
system.romanian,Română,Română,Română,Română,Română,Română,Română,Română,Română,Română
