Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
header.whyQrCodes,"Why QR codes",为什么要使用QR码,Darum QR Codes,Perché i codici QR,Por que códigos QR,De ce coduri QR,Hvorfor QR-koder,Por qué los códigos QR,Pourquoi les codes QR ?,Neden QR kodları
header.whatsNew,"What's New?",新功能,Was gibt’s Neues?,Cosa c'è di nuovo?,O que há de novo?,Ce este nou?,Hvad er det nye?,¿Qué hay de nuevo?,Quoi de neuf ?,Ne gibi yenilikler var?
header.login,"Login",登录,Einloggen,Login,"Login ","Login ","Login ",Conectarse,Login,Giriş
header.signup,"Sign Up",注册,Registrieren,Iscriversi,Registre-se,Înscrieți-vă,Tilmeld dig,Inscribirse,S'enregistrer,Kaydolun
footer.madeIn,"Made in Shanghai, San Francisco and Berlin.",制造于上海、旧金山和柏林,Made in Shanghai San Francisco and Berlin.,Made in Shanghai San Francisco e Berlino.,"Fabricado em Xangai, São Francisco e Berlim.","Fabricat în Shanghai, San Francisco și Berlin.","Fremstillet i Shanghai, San Francisco og Berlin.",Made in Shanghai San Francisco y Berlín.,"Fabriqué à Shanghai, San Francisco et Berlin.",Made in Shanghai San Francisco and Berlin.
footer.imprint,"Imprint",版权声明,Impressum,Impronta,Impressão,Imprimare,Aftryk,Pie de imprenta,Impressum,Künye
languages.headline,"Select your preferred language.",选择您偏好的语言。,Sprache wählen,Selezionare la lingua,Selecione o idioma,Selectați limba,Vælg sprog,Seleccionar idioma,Choisir la langue,Dil seçin
languages.da,"Dansk","Dansk","Dansk","Dansk","Dansk","Dansk","Dansk","Dansk","Dansk","Dansk"
languages.en,"English","English","English","English","English","English","English","English","English","English"
languages.de,"Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch"
languages.zh,"中文","中文","中文","中文","中文","中文","中文","中文","中文","中文"
languages.fr,"Français","Français","Français","Français","Français","Français","Français","Français","Français","Français"
languages.it,"Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano"
languages.pt,"Português","Português","Português","Português","Português","Português","Português","Português","Português","Português"
languages.es,"Español","Español","Español","Español","Español","Español","Español","Español","Español","Español"
languages.ro,"Română","Română","Română","Română","Română","Română","Română","Română","Română","Română"
languages.tr,"Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe","Türkçe"
home.heroHeadline, "Brand Protection Recommended by Lawyers.", "律师推荐的品牌保护。", "Markenschutz von Anwälten empfohlen.", "Protezione del marchio consigliata dagli avvocati.", "Proteção de marca recomendada por advogados.", "Protecția mărcii recomandată de avocați.", "Brandbeskyttelse anbefalet af advokater.", "Protección de marca recomendada por abogados.", "Protection de marque recommandée par des avocats.", "Avukatlar tarafından tavsiye edilen Marka Koruma."
home.heroSubheadline, "Global brands use the All4Labels Cloud to add tamper proof anti-counterfeit protection to their flexo, offset, inkjet and digital print labels.", "全球品牌使用 All4Labels Cloud 为其柔性版、胶印、喷墨和数字印刷标签添加防伪防伪保护。", "Weltmarken nutzen die All4Labels Cloud, um ihren Flexo-, Offset-, Inkjet- und Digitaldrucketiketten einen manipulationssicheren Fälschungsschutz hinzuzufügen.", "I marchi globali utilizzano All4Labels Cloud per aggiungere protezione anticontraffazione a prova di manomissione alle loro etichette per stampa flessografica, offset, a getto d'inchiostro e digitale.", "As marcas globais usam a All4Labels Cloud para adicionar proteção antifalsificação à prova de violação às suas etiquetas de impressão flexográfica, offset, jato de tinta e digital.", "Mărcile globale utilizează All4Labels Cloud pentru a adăuga protecție împotriva contrafacerii la etichetele lor de imprimare flexografică, offset, cu jet de cerneală și digitală.", "Globale mærker bruger All4Labels Cloud til at tilføje manipulationssikker anti-falsk beskyttelse til deres flexo-, offset-, inkjet- og digitaltryk etiketter.", "Las marcas globales utilizan All4Labels Cloud para agregar protección antifalsificación a prueba de manipulaciones a sus etiquetas de impresión flexográfica, offset, inyección de tinta y digital.", "Les marques mondiales utilisent All4Labels Cloud pour ajouter une protection anti-contrefaçon inviolable à leurs étiquettes d'impression flexo, offset, jet d'encre et numérique.", "Küresel markalar, flekso, ofset, mürekkep püskürtmeli ve dijital baskı etiketlerine müdahaleye dayanıklı sahte koruma eklemek için All4Labels Cloud'u kullanıyor."
home.heroCta,"Start Now",现在开始,Jetzt loslegen,Inizia ora,Comece agora,Începeți acum,Start nu,Empezar ahora,Commencer maintenant,Şimdi Başlayın
home.title,A4lCloud,云QR,A4lCloud,A4lCloud,A4lCloud,A4lCloud,A4lCloud,A4lCloud,A4lCloud,A4lCloud
signUp.headline,"Sign Up / Log In",注册/登录,Registrieren / Einloggen,Login / Iscriversi,Login / Registre-se,Login / Înscrieți-vă,Login / Tilmeld dig,Conectarse / Inscribirse,Login / S’enregistrer,Giriş / Kaydolun
